"OU","ObjectClass","IdentityReference","PrincipalName","ActiveDirectoryRights","InheritanceType","ObjectType","InheritedObjectType","ObjectFlags","AccessControlType","IsInherited","InheritanceFlags","PropagationFlags","SDDate","InvocationID","OrgUSN","LegendText"
"CN=ACS-Max-Duration-Per-Flow,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ACS-Maximum-SDU-Size,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ACS-Max-No-Of-Account-Files,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ACS-Max-No-Of-Log-Files,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ACS-Max-Peak-Bandwidth,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ACS-Max-Peak-Bandwidth-Per-Flow,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ACS-Max-Size-Of-RSVP-Account-File,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ACS-Max-Size-Of-RSVP-Log-File,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ACS-Max-Token-Bucket-Per-Flow,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ACS-Max-Token-Rate-Per-Flow,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ACS-Minimum-Delay-Variation,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ACS-Minimum-Latency,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ACS-Minimum-Policed-Size,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ACS-Non-Reserved-Max-SDU-Size,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ACS-Non-Reserved-Min-Policed-Size,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ACS-Non-Reserved-Peak-Rate,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ACS-Non-Reserved-Token-Size,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ACS-Non-Reserved-Tx-Limit,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ACS-Non-Reserved-Tx-Size,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ACS-Permission-Bits,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ACS-Policy,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ACS-Policy-Name,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ACS-Priority,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ACS-Resource-Limits,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ACS-RSVP-Account-Files-Location,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ACS-RSVP-Log-Files-Location,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ACS-Server-List,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ACS-Service-Type,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ACS-Subnet,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ACS-Time-Of-Day,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=ACS-Total-No-Of-Flows,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Additional-Information,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Additional-Trusted-Service-Names,CN=Schema,CN=Configuration,<ROOT-DN>",,"<ROOT-NETBIOS>\Schema Admins",,"Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
